sample_name,fastq1,fastq2,tech
Monkeypox_PT0164_2022,Monkeypox_PT0164_2022_R1_001,Monkeypox_PT0164_2022_R2_001,illumina
Monkeypox_PT0182_2022,Monkeypox_PT0182_2022_R1_001,Monkeypox_PT0182_2022_R2_001,illumina
Monkeypox_PT0183_2022,Monkeypox_PT0183_2022_R1_001,Monkeypox_PT0183_2022_R2_001,illumina
Monkeypox_PT0186_2022,Monkeypox_PT0186_2022_R1_001,Monkeypox_PT0186_2022_R2_001,illumina
Monkeypox_PT0191_2022,Monkeypox_PT0191_2022_R1_001,Monkeypox_PT0191_2022_R2_001,illumina
Monkeypox_PT0198_2022,Monkeypox_PT0198_2022_R1_001,Monkeypox_PT0198_2022_R2_001,illumina
Monkeypox_PT0290_2022,Monkeypox_PT0290_2022_R1_001,Monkeypox_PT0290_2022_R2_001,illumina
Monkeypox_PT0347_2022,Monkeypox_PT0347_2022_R1_001,Monkeypox_PT0347_2022_R2_001,illumina
