sample_name,fastq1,fastq2,tech
JPG110_Portugal_PT45141_2022_S110,JPG110_Portugal_PT45141_2022_S110_R1_001,JPG110_Portugal_PT45141_2022_S110_R2_001,illumina
JPG234_Portugal_PT45265_2022_S234,JPG234_Portugal_PT45265_2022_S234_R1_001,JPG234_Portugal_PT45265_2022_S234_R2_001,illumina
JPG85_Portugal_PT45116_2022_S85,JPG85_Portugal_PT45116_2022_S85_R1_001,JPG85_Portugal_PT45116_2022_S85_R2_001,illumina
Portugal-PT44134-2022,Portugal-PT44134-2022_R1_001,Portugal-PT44134-2022_R2_001,illumina
Portugal-PT44766-2022,Portugal-PT44766-2022_R1_001,Portugal-PT44766-2022_R2_001,illumina
